Results:
python3 model_dwell_time/tune_lgbm_unstable.py \
  --csv /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/Datasets/ho_train_45k_labeled.csv \
  --outdir /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/model_dwell_time/model_results/lgbm_45k_tuned \
  --test-size 0.2 \
  --random-state 42
trial=30/1728 pr_auc=0.200196 roc_auc=0.862773 f1@0.5=0.175238 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=31/1728 pr_auc=0.200327 roc_auc=0.862483 f1@0.5=0.214869 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=32/1728 pr_auc=0.200114 roc_auc=0.862936 f1@0.5=0.194434 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=33/1728 pr_auc=0.202749 roc_auc=0.863568 f1@0.5=0.178024 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=34/1728 pr_auc=0.202309 roc_auc=0.862455 f1@0.5=0.211663 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=35/1728 pr_auc=0.203405 roc_auc=0.863538 f1@0.5=0.194203 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=36/1728 pr_auc=0.202717 roc_auc=0.862967 f1@0.5=0.176414 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=37/1728 pr_auc=0.201211 roc_auc=0.862231 f1@0.5=0.214684 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=38/1728 pr_auc=0.199752 roc_auc=0.862782 f1@0.5=0.193178 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=39/1728 pr_auc=0.200714 roc_auc=0.861866 f1@0.5=0.174929 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
